,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,lag1_previous_quantity,lag2_previous_quantity,lag3_previous_quantity,lag4_previous_quantity,lag5_previous_quantity,SUM(QTEPRD)
8322,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-02-01,BEJA,AMDOUN,7256.72,1451.344,14.0,0.0,0.0,0.0,0.0,5.0
8372,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-02-01,BEJA,AMDOUN,8708.064,1451.344,5.0,14.0,0.0,0.0,0.0,6.0
1522,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-03-01,BEJA,AMDOUN,18867.472,1451.344,6.0,5.0,14.0,0.0,0.0,13.0
15216,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-04-01,BEJA,AMDOUN,14933.61,1493.361,13.0,6.0,5.0,14.0,0.0,10.0
1513,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2018-04-01,BEJA,AMDOUN,5973.444,1493.361,10.0,13.0,6.0,5.0,14.0,4.0
11219,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2018-05-01,BEJA,AMDOUN,4480.083,1493.3609999999999,4.0,10.0,13.0,6.0,5.0,3.0
15253,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-05-01,BEJA,AMDOUN,19413.693,1493.3609999999999,3.0,4.0,10.0,13.0,6.0,13.0
14417,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-06-01,BEJA,AMDOUN,22589.49,1505.9660000000001,13.0,3.0,4.0,10.0,13.0,15.0
4461,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-07-01,BEJA,AMDOUN,28014.948,1556.386,15.0,13.0,3.0,4.0,10.0,18.0
7362,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-08-01,BEJA,AMDOUN,20233.018,1556.386,18.0,15.0,13.0,3.0,4.0,13.0
499,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2018-08-01,BEJA,AMDOUN,6225.544,1556.386,13.0,18.0,15.0,13.0,3.0,4.0
8868,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-09-01,BEJA,AMDOUN,24102.105,1606.807,4.0,13.0,18.0,15.0,13.0,15.0
17022,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-10-01,BEJA,AMDOUN,14461.263,1606.807,15.0,4.0,13.0,18.0,15.0,9.0
18431,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2018-10-01,BEJA,AMDOUN,6427.228,1606.807,9.0,15.0,4.0,13.0,18.0,4.0
10367,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2018-11-01,BEJA,AMDOUN,4820.421,1606.807,4.0,9.0,15.0,4.0,13.0,3.0
7594,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-11-01,BEJA,AMDOUN,9640.842,1606.807,3.0,4.0,9.0,15.0,4.0,6.0
13084,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-12-01,BEJA,AMDOUN,16062.018,1606.2018,6.0,3.0,4.0,9.0,15.0,10.0
3480,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2018-12-01,BEJA,AMDOUN,4820.421,1606.807,10.0,6.0,3.0,4.0,9.0,3.0
13122,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,AMDOUN,2019-01-01,BEJA,AMDOUN,4815.882,1605.2939999999999,3.0,10.0,6.0,3.0,4.0,3.0
11384,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2019-01-01,BEJA,AMDOUN,8026.47,1605.294,3.0,3.0,10.0,6.0,3.0,5.0
856,SKHIRA,SSP SUPER SANS PLOMB,AMDOUN,2019-01-01,BEJA,AMDOUN,6421.176,1605.294,5.0,3.0,3.0,10.0,6.0,4.0
17199,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2019-02-01,BEJA,AMDOUN,16052.94,1605.294,4.0,5.0,3.0,3.0,10.0,10.0
