CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,SKHIRA,GASOIL,431281,18-Feb,12,28,10799.11,10
CARBURANT,SKHIRA,GASOIL 50,154360,18-Feb,5,34,14587.166,11
CARBURANT,SKHIRA,GASOIL 50,437852,18-Feb,11,13,19891.59,15
CARBURANT,BIZERTE CARBURANT,GASOIL,155710,18-Mar,6,5,163066.561,151
CARBURANT,BIZERTE CARBURANT,PETROLE,153210,18-Jan,16,44,5766.368,8
CARBURANT,SKHIRA,GASOIL,202011,18-Mar,17,67,906656.439,849
CARBURANT,SKHIRA,GASOIL,207231,18-Mar,18,69,879167.376,816
CARBURANT,SKHIRA,GASOIL,210731,18-Feb,1,92,2953.968,0
CARBURANT,SKHIRA,GASOIL 50,207722,18-Feb,14,28,7956.636,6
CARBURANT,BIZERTE CARBURANT,GASOIL 50,673612,18-Jan,6,1,19891.59,15
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,153130,18-May,10,31,83628.216,56
CARBURANT,BIZERTE CARBURANT,GASOIL 50,560332,18-May,4,36,50703.098,37
CARBURANT,BIZERTE CARBURANT,FOL,215721,18-May,15,28,40261.129,75.64
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,201831,18-Nov,1,92,24102.105,15
CARBURANT,BIZERTE CARBURANT,GASOIL 50,154820,18-Mar,15,98,7956.636,6
CARBURANT,ZARZIS,GASOIL,563741,18-Jan,22,14,21598.22,20
CARBURANT,ZARZIS,GASOIL,203451,18-Mar,22,98,60475.016,56
CARBURANT,BIZERTE CARBURANT,GASOIL,154580,18-Nov,22,25,11312.127,9
CARBURANT,ZARZIS,GASOIL 50,563741,18-Jan,23,62,6630.53,5
CARBURANT,BIZERTE CARBURANT,GASOIL,563741,18-May,6,80,22483.18,20
CARBURANT,SKHIRA,GASOIL 50,563252,18-Feb,2,12,15913.272,12
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,154870,18-Mar,14,28,177063.968,122
CARBURANT,SKHIRA,GASOIL,215161,18-Mar,13,48,5389.555,5
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153420,18-Mar,11,50,71115.856,49
CARBURANT,GOULETTE,GASOIL,201831,18-Mar,2,94,173865.671,161
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,154560,18-Mar,13,43,65310.48,45
CARBURANT,SKHIRA,GASOIL 50,155140,18-Feb,4,36,33152.65,25
CARBURANT,BIZERTE CARBURANT,PETROLE,154270,18-Mar,17,30,4324.776,6
CARBURANT,SKHIRA,GASOIL,207231,18-Mar,18,71,336152.232,312
CARBURANT,BIZERTE CARBURANT,GASOIL,155010,18-Aug,12,23,4762.124,4
CARBURANT,BIZERTE CARBURANT,GASOIL,150750,18-Aug,12,1,50002.302,42
CARBURANT,BIZERTE CARBURANT,SSP SUPER SANS PLOMB,154880,18-Aug,8,33,57586.282,37
CARBURANT,SKHIRA,GASOIL,435512,18-Feb,15,1,26997.775,25
CARBURANT,SKHIRA,GASOIL,219041,18-Feb,17,1,3239.733,3
CARBURANT,BIZERTE CARBURANT,FOL,244590,18-Nov,22,14,15073.079,23.94
CARBURANT,BIZERTE CARBURANT,FOL,205672,18-Nov,14,25,77645.379,123.38
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155200,18-Mar,11,27,30478.224,21
CARBURANT,GOULETTE,GASOIL,211591,18-Mar,8,33,18327.887,17
CARBURANT,SKHIRA,GASOIL,154880,18-Mar,8,33,26997.775,25
CARBURANT,GOULETTE,GASOIL,154500,18-Mar,1,43,264578.195,245
CARBURANT,SKHIRA,GASOIL,206921,18-Mar,15,1,34557.152,32
CARBURANT,SKHIRA,GASOIL 50,153300,18-Mar,17,67,64979.194,49
CARBURANT,ZARZIS,GASOIL 50,563081,18-May,23,80,12333.186,9
CARBURANT,ZARZIS,GASOIL,563741,18-May,23,50,7869.113,7
CARBURANT,BIZERTE CARBURANT,PETROLE,154380,18-Mar,7,33,5766.368,8
CARBURANT,SKHIRA,GASOIL,207231,18-Mar,18,38,296288.025,275
CARBURANT,SKHIRA,GASOIL 50,154340,18-Mar,17,55,39783.18,30
CARBURANT,BIZERTE CARBURANT,FOL,203411,18-Mar,4,26,7304.063,14.7
CARBURANT,BIZERTE CARBURANT,PETROLE,153130,18-Mar,10,31,13695.124,19
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153670,18-Mar,21,5,20318.816,14
CARBURANT,SKHIRA,GASOIL,244330,18-Mar,17,29,36682.974,34
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,150810,18-Mar,13,25,175612.624,121
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,155510,18-Mar,3,21,261241.92,180
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,155620,18-Mar,14,8,110302.144,76
CARBURANT,BIZERTE CARBURANT,GASOIL,228171,18-Mar,6,45,4319.644,4
CARBURANT,SKHIRA,GASOIL,153180,18-Mar,17,67,107991.1,100
CARBURANT,SKHIRA,SSP SUPER SANS PLOMB,153180,18-Mar,17,67,219152.944,151
CARBURANT,GOULETTE,SSP SUPER SANS PLOMB,151140,18-Apr,1,75,259844.814,174
CARBURANT,SKHIRA,FOL,241410,18-Mar,17,13,35943.938,72.34
